snapshot_date,batch_id,hospital_id,medicine_id,quantity_units,unit,unit_cost_npr,received_date,expiry_date,days_to_expiry,reorder_level,avg_daily_use,days_of_cover,stock_status,supplier,storage_condition
2026-06-30,BATCH-000001,DEMO-01,MED-001,3891,tablet,1.5,2026-06-14,2028-09-18,811,3706,370.631,10.5,OK,BPKMCH Pharmacy Store,Ambient
2026-06-30,BATCH-000002,DEMO-01,MED-001,3056,tablet,1.5,2026-05-01,2028-10-30,853,3706,370.631,8.25,LOW_STOCK,DoDA Logistics,Ambient
2026-06-30,BATCH-000003,DEMO-01,MED-001,3012,tablet,1.5,2025-05-08,2026-08-16,47,3706,370.631,8.13,LOW_AND_NEAR_EXPIRY,Nepal CMS,Ambient
2026-06-30,BATCH-000004,DEMO-01,MED-002,986,bottle,45.0,2026-02-22,2027-11-22,510,547,54.762,18.01,OK,Local Pharmacy Wholesaler,Ambient
2026-06-30,BATCH-000005,DEMO-01,MED-002,1219,bottle,45.0,2026-06-24,2027-11-23,511,547,54.762,22.26,OK,DoDA Logistics,Ambient
2026-06-30,BATCH-000006,DEMO-01,MED-003,1156,tablet,2.5,2026-06-22,2028-05-04,674,1289,128.952,8.96,LOW_STOCK,UNICEF Supply,Ambient
2026-06-30,BATCH-000007,DEMO-01,MED-003,1515,tablet,2.5,2025-09-28,2027-06-28,363,1289,128.952,11.75,OK,Provincial Medical Store,Ambient
2026-06-30,BATCH-000008,DEMO-01,MED-004,1012,ampoule,25.0,2025-06-11,2026-10-25,117,420,42.036,24.07,OK,UNICEF Supply,Ambient
2026-06-30,BATCH-000009,DEMO-01,MED-004,1026,ampoule,25.0,2026-05-20,2027-08-05,401,420,42.036,24.41,OK,UNICEF Supply,Ambient
2026-06-30,BATCH-000010,DEMO-01,MED-005,10717,capsule,6.0,2025-05-06,2026-08-02,33,1676,167.655,63.92,NEAR_EXPIRY,Nepal CMS,Ambient
2026-06-30,BATCH-000011,DEMO-01,MED-006,955,tablet,35.0,2025-03-10,2026-07-29,29,832,83.286,11.47,NEAR_EXPIRY,DoDA Logistics,Ambient
2026-06-30,BATCH-000012,DEMO-01,MED-006,702,tablet,35.0,2026-05-21,2028-06-02,703,832,83.286,8.43,LOW_STOCK,Private Distributor - Kathmandu,Ambient
2026-06-30,BATCH-000013,DEMO-01,MED-006,665,tablet,35.0,2025-10-04,2026-10-21,113,832,83.286,7.98,LOW_STOCK,DoDA Logistics,Ambient
2026-06-30,BATCH-000014,DEMO-01,MED-007,1460,tablet,40.0,2026-06-12,2027-09-09,436,645,64.524,22.63,OK,Kanti Central Store,Ambient
2026-06-30,BATCH-000015,DEMO-01,MED-008,2229,tablet,8.0,2026-06-15,2029-04-14,1019,998,99.845,22.32,OK,DoDA Logistics,Ambient
2026-06-30,BATCH-000016,DEMO-01,MED-009,93,vial,85.0,2026-01-08,2027-03-21,264,623,62.31,1.49,LOW_STOCK,DoDA Logistics,Ambient
2026-06-30,BATCH-000017,DEMO-01,MED-009,30,vial,85.0,2026-02-02,2027-01-01,185,623,62.31,0.48,LOW_STOCK,Provincial Medical Store,Ambient
2026-06-30,BATCH-000018,DEMO-01,MED-009,72,vial,85.0,2025-06-20,2026-09-16,78,623,62.31,1.16,LOW_AND_NEAR_EXPIRY,Nepal CMS,Ambient
2026-06-30,BATCH-000019,DEMO-01,MED-010,306,tablet,2.0,2026-03-03,2027-12-28,546,910,91.024,3.36,LOW_STOCK,DoDA Logistics,Ambient
2026-06-30,BATCH-000020,DEMO-01,MED-010,598,tablet,2.0,2026-06-14,2028-01-29,578,910,91.024,6.57,LOW_STOCK,BPKMCH Pharmacy Store,Ambient
2026-06-30,BATCH-000021,DEMO-01,MED-011,2618,sachet,8.0,2026-06-10,2028-05-01,671,2618,261.869,10.0,LOW_STOCK,Private Distributor - Kathmandu,Ambient
2026-06-30,BATCH-000022,DEMO-01,MED-011,1374,sachet,8.0,2024-09-13,2026-12-29,182,2618,261.869,5.25,LOW_STOCK,BPKMCH Pharmacy Store,Ambient
