request_id,request_datetime,hospital_id,medicine_id,quantity_requested,severity,cause,status,response_hours
EMR-0001,2025-12-21T00:00:00Z,DEMO-01,MED-038,186,Medium,Surgical emergency,Fulfilled,11.5
EMR-0002,2025-10-04T00:00:00Z,HOSP-LB-002,MED-069,88,High,Surgical emergency,Fulfilled,7.5
EMR-0003,2025-11-22T00:00:00Z,DEMO-01,MED-004,104,Critical,Postpartum hemorrhage,Cancelled,9.7
EMR-0004,2025-07-05T00:00:00Z,DEMO-04,MED-003,16,Medium,Road traffic accident,Partially_Fulfilled,23.7
EMR-0005,2025-12-17T00:00:00Z,DEMO-08,MED-041,128,High,Mass casualty,Fulfilled,9.6
EMR-0006,2026-02-18T00:00:00Z,DEMO-07,MED-022,160,Medium,Neonatal sepsis,Fulfilled,31.3
EMR-0007,2025-09-28T00:00:00Z,HOSP-MD-003,MED-027,145,Medium,Snake bite,Cancelled,46.8
EMR-0008,2025-11-08T00:00:00Z,DEMO-01,MED-050,271,Medium,Flood displacement camp,Fulfilled,47.5
EMR-0009,2026-06-14T00:00:00Z,DEMO-08,MED-017,209,Medium,Chemo stockout,Fulfilled,27.3
EMR-0010,2026-02-01T00:00:00Z,HOSP-SP-002,MED-022,146,High,Dengue surge,Partially_Fulfilled,13.0
EMR-0011,2025-10-29T00:00:00Z,HOSP-SP-003,MED-070,287,Critical,Postpartum hemorrhage,Partially_Fulfilled,12.2
EMR-0012,2026-04-14T00:00:00Z,HOSP-BG-013,MED-069,288,Critical,Pediatric pneumonia surge,Cancelled,1.6
EMR-0013,2025-12-04T00:00:00Z,DEMO-06,MED-025,197,Medium,Chemo stockout,Fulfilled,11.2
EMR-0014,2026-03-04T00:00:00Z,DEMO-02,MED-014,151,Medium,Pediatric pneumonia surge,Fulfilled,44.2
EMR-0015,2025-08-23T00:00:00Z,DEMO-08,MED-025,23,Medium,Pediatric pneumonia surge,Fulfilled,16.8
EMR-0016,2025-08-21T00:00:00Z,HOSP-BG-013,MED-053,46,Critical,Mass casualty,Fulfilled,10.7
EMR-0017,2026-03-03T00:00:00Z,HOSP-SP-002,MED-007,221,Medium,Snake bite,Partially_Fulfilled,19.3
EMR-0018,2025-10-13T00:00:00Z,DEMO-03,MED-030,218,High,Neonatal sepsis,Open,31.7
EMR-0019,2026-06-27T00:00:00Z,DEMO-08,MED-067,247,Critical,Pediatric pneumonia surge,Open,6.5
EMR-0020,2025-10-26T00:00:00Z,DEMO-02,MED-014,139,High,Flood displacement camp,Fulfilled,8.5
EMR-0021,2026-05-25T00:00:00Z,DEMO-06,MED-045,285,Critical,Dengue surge,Partially_Fulfilled,9.1
EMR-0022,2025-12-12T00:00:00Z,DEMO-01,MED-047,191,Medium,Snake bite,Fulfilled,8.4
EMR-0023,2026-01-23T00:00:00Z,HOSP-GD-002,MED-017,286,Medium,Mass casualty,Fulfilled,32.8
EMR-0024,2025-10-17T00:00:00Z,HOSP-GD-004,MED-007,270,Medium,Flood displacement camp,Fulfilled,31.5
EMR-0025,2025-08-09T00:00:00Z,HOSP-BG-016,MED-015,167,Medium,Chemo stockout,Fulfilled,4.6
EMR-0026,2026-06-16T00:00:00Z,HOSP-BG-010,MED-050,223,High,COPD exacerbation cluster,Fulfilled,19.4
EMR-0027,2025-12-01T00:00:00Z,HOSP-BG-017,MED-066,186,High,Flood displacement camp,Fulfilled,7.1
EMR-0028,2025-09-26T00:00:00Z,DEMO-02,MED-061,196,Medium,COPD exacerbation cluster,Partially_Fulfilled,8.3
EMR-0029,2026-04-06T00:00:00Z,HOSP-BG-015,MED-045,262,Medium,Flood displacement camp,Partially_Fulfilled,32.3
EMR-0030,2026-04-03T00:00:00Z,DEMO-01,MED-038,86,Critical,Snake bite,Open,6.0
EMR-0031,2026-03-09T00:00:00Z,DEMO-06,MED-024,37,Medium,Postpartum hemorrhage,Fulfilled,13.0
EMR-0032,2026-06-03T00:00:00Z,HOSP-GD-005,MED-019,117,Medium,Chemo stockout,Partially_Fulfilled,41.9
EMR-0033,2026-04-19T00:00:00Z,DEMO-05,MED-059,282,High,Dengue surge,Fulfilled,30.8
EMR-0034,2025-09-20T00:00:00Z,DEMO-01,MED-016,16,High,Postpartum hemorrhage,Cancelled,31.3
EMR-0035,2026-03-23T00:00:00Z,HOSP-BG-019,MED-059,152,Critical,Flood displacement camp,Fulfilled,5.8
EMR-0036,2026-01-22T00:00:00Z,DEMO-03,MED-045,209,Critical,Pediatric pneumonia surge,Fulfilled,11.0
EMR-0037,2026-05-12T00:00:00Z,DEMO-02,MED-069,182,High,Dengue surge,Fulfilled,38.4
EMR-0038,2026-03-29T00:00:00Z,HOSP-MD-001,MED-071,189,Critical,Road traffic accident,Partially_Fulfilled,3.9
EMR-0039,2026-02-02T00:00:00Z,DEMO-06,MED-024,258,High,Blood shortage,Open,2.8
