medicine_id,generic_name,brand_example,category,dosage_form,strength,unit,pack_size,shelf_life_months,unit_cost_npr,requires_cold_chain,is_essential,base_demand_per_100_beds,abc_class
MED-001,Paracetamol,Calpol / Napa,Antipyretic,Tablet,500mg,tablet,100,36,1.5,0,1,45.0,B
MED-002,Paracetamol,PCM Syrup,Antipyretic,Syrup,125mg/5ml,bottle,1,24,45.0,0,1,8.0,A
MED-003,Ibuprofen,Brufen,Analgesic,Tablet,400mg,tablet,100,36,2.5,0,1,18.0,B
MED-004,Diclofenac,Voveran,Analgesic,Injection,75mg/3ml,ampoule,10,24,25.0,0,1,6.0,B
MED-005,Amoxicillin,Amoxil,Antibiotic,Capsule,500mg,capsule,100,24,6.0,0,1,22.0,B
MED-006,Amoxicillin + Clavulanate,Augmentin,Antibiotic,Tablet,625mg,tablet,10,24,35.0,0,1,10.0,A
MED-007,Azithromycin,Azithral,Antibiotic,Tablet,500mg,tablet,3,24,40.0,0,1,8.0,A
MED-008,Ciprofloxacin,Cifran,Antibiotic,Tablet,500mg,tablet,10,36,8.0,0,1,12.0,B
MED-009,Ceftriaxone,Monocef,Antibiotic,Injection,1g,vial,1,24,85.0,0,1,9.0,A
MED-010,Metronidazole,Flagyl,Antibiotic,Tablet,400mg,tablet,100,36,2.0,0,1,14.0,C
MED-011,ORS (WHO formula),Jeevan Jal,ORS_Electrolyte,Sachet,20.5g,sachet,50,36,8.0,0,1,25.0,A
MED-012,Zinc Sulfate,Zinconia,ORS_Electrolyte,Tablet,20mg,tablet,100,36,1.2,0,1,15.0,C
MED-013,Ringer's Lactate,RL IV,IV_Fluid,Infusion,500ml,bag,1,24,55.0,0,1,12.0,A
MED-014,Normal Saline 0.9%,NS IV,IV_Fluid,Infusion,500ml,bag,1,24,45.0,0,1,18.0,A
MED-015,Dextrose 5%,D5 IV,IV_Fluid,Infusion,500ml,bag,1,24,48.0,0,1,10.0,A
MED-016,Artemether-Lumefantrine,Coartem,Antimalarial,Tablet,20/120mg,tablet,24,24,15.0,0,1,3.5,B
MED-017,Chloroquine,Nivaquine,Antimalarial,Tablet,250mg,tablet,100,36,1.8,0,0,1.5,C
MED-018,Salbutamol,Asthalin,Respiratory,Inhaler,100mcg,unit,1,24,180.0,0,1,4.0,A
