exchange_id,request_date,from_hospital_id,to_hospital_id,medicine_id,quantity_units,priority,status,distance_km,estimated_lead_days,same_province,reason,involves_demo
EX-00001,2026-04-21,DEMO-02,DEMO-06,MED-038,98,Normal,Completed,239.4,2,0,Routine balancing,1
EX-00002,2026-03-21,HOSP-GD-004,HOSP-GD-003,MED-072,5,Emergency,Completed,72.8,2,1,Routine balancing,0
EX-00003,2026-03-31,HOSP-KR-003,HOSP-BG-017,MED-032,5,Normal,Rejected,304.8,5,0,Chemo cycle demand,0
EX-00004,2026-01-07,DEMO-08,DEMO-06,MED-009,33,Normal,Approved,590.4,7,0,Postpartum hemorrhage kit,1
EX-00005,2026-05-24,HOSP-GD-005,DEMO-06,MED-061,180,High,Completed,380.2,5,0,Outbreak response,1
EX-00006,2026-03-19,DEMO-08,HOSP-MD-004,MED-010,21,Emergency,Completed,364.3,4,0,Chemo cycle demand,1
EX-00007,2026-03-25,HOSP-BG-019,DEMO-06,MED-071,63,High,Completed,240.3,5,0,Chemo cycle demand,1
EX-00008,2026-02-25,DEMO-08,DEMO-06,MED-003,28,Normal,Completed,590.4,9,0,Near-expiry redistribution,1
EX-00009,2026-06-12,DEMO-04,HOSP-KR-001,MED-027,170,Normal,In_Transit,376.7,5,0,Monsoon surge,1
EX-00010,2026-03-18,DEMO-02,DEMO-07,MED-043,34,Normal,Rejected,142.1,1,0,Postpartum hemorrhage kit,1
EX-00011,2026-06-25,HOSP-SP-003,HOSP-BG-018,MED-032,22,Normal,Completed,453.8,5,0,Low stock,0
EX-00012,2026-06-19,DEMO-07,DEMO-05,MED-015,65,Emergency,Completed,143.2,1,0,Postpartum hemorrhage kit,1
EX-00013,2026-02-18,DEMO-07,HOSP-GD-004,MED-062,117,Normal,Rejected,45.9,1,1,Pediatric surge,1
EX-00014,2026-06-05,HOSP-BG-012,HOSP-KP-003,MED-052,160,High,Completed,303.2,4,0,Emergency case load,0
EX-00015,2026-05-12,DEMO-01,DEMO-02,MED-032,192,Normal,Rejected,3.8,1,1,Surgical camp,1
EX-00016,2026-05-13,DEMO-04,DEMO-06,MED-029,141,Normal,Completed,239.3,3,0,Near-expiry redistribution,1
EX-00017,2026-04-22,HOSP-KP-004,HOSP-MD-001,MED-056,5,High,Completed,87.0,3,0,Monsoon surge,0
EX-00019,2026-05-25,HOSP-BG-016,DEMO-02,MED-054,112,Normal,Completed,45.1,1,1,Near-expiry redistribution,1
EX-00020,2026-03-18,DEMO-02,DEMO-07,MED-047,25,Normal,Completed,142.1,1,0,Surgical camp,1
